Name,Address,ZipCode,City,Hours,Phones,GymWeb,Url
Do gym,C/ Alcalde López Casero 13,28027,,M-J de 18.00 a 21:00 - Sabados de 11.00 a 13.00,910291990,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=906
E.m.t. agrupacion dptva.,C/ Viejas S/N,28034,MADRID,,914013100-91148838,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=53
"Easo, judo","Plaza del Liceo, s/nº",28043,MADRID,,49888,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=373
Educando en deporte c.d.e.,"Avda. Gavia 11, Portal I 1ºC",28051,,,686005042,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=920
"El quijote a.m.p.a., colegio","C/Fuentidueña, nº 4",28031,,,3800214- 646033240,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=695
"El valle, club deportivo elemental",C/ Cordel de Pavones 2,28032,,,917511510-606106898,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=851
Escuela de deportes apostol santiago,"C/ Islas Cies, nº 43  5ºA",28035,MADRID,,917303455,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=394
Escuela superior de tai chi,"Plaza de Egabro, 7",28011,,,686009761,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=722
Escuelas de judo ayuntamiento de madrid,"ALFONSO XI, 3",28014,,,,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=836
Estudiantes tirso de molina c.d.,C/ TOLEDO 122,28005,,,662125189,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=935
"Fausto, gimnasio","C/ Longares, nº 10",28022,MADRID,,913241120,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=57
Fefmont colegio montpellier,"C/ Virgen del Val, nº 7",28027,MADRID,,914041100,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=157
"Fomento del judo en madrid, c.d.e.","Avda. Pablo Neruda 1, 6ºC",28038,,,912993939-649870160,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=774
"Fontarron, colegio publico","Arroyo Fontarrón, 24",28030,,,913711626,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=732
Fray luis de leon,"C/Evaristo San Miguel, nº 10",28008,MADRID,,915472400,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=247
Fuente  del berro,"C/ ELVIRA , Nº 36",28028,,,915046971,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=925
"Fuentelarreyna, club","C/ Ramón Gómez de la Serna, nº 62",28035,MADRID,,913732328,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=59
"Fundación leandro jiménez garcés, s.a.d.","C/ Maqueda, nº 8",28024,MADRID,,917110564,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=604
"Gamo-diana,colegio publico",TEMBLEQUE 104,28024,MADRID,,,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=80
Gimnasio kime,"Lola Membrives, 5",28019,MADRID,,915600726,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=465
"Guajes, club deportivo elemental",C/ Sancho Davila 20,28028,,,670950034,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=873
Human sport center,C/ Amparo Usera 12,28026,,,914765454-650817906,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=919
I.n.e.f.,"Avda. Martín Fierro, S/N",28040,MADRID,,5894000,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=357
"Inmaculada concepcion, colegio","C/ General Díaz Porlier, nº 25",28001,MADRID,,914314420,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=137
Jesus maestro club deportivo,"C/Juan Vigón, nº 8",28003,MADRID,,915530807,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=259
"Joaquin costa, colegio","Pº de los Pontones, nº 6-8",28005,MADRID,,673767654 913657742,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=333
"Jose albacete, gimnasio","C/ Santa Susana, nº 27 Post.",28033,MADRID,,638947533,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=50
"Jose calvo sotelo, ampa  colegio",Avda. Ciudad de Barcelona 83,28007,,,,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=813
Joyfe (vital aza) colegio,"C/ Vital Aza, nº 65",28017,MADRID,,913772259,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=141
Judo añover,Pablo Neruda 22,28038,,,669935543,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=907
"Judo club ayala , c.d.e.","Paseo de los Melancólicos, nº 28 P.E 5ºA",28005,,,699568023,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=724
Judo club kobe-hiroshima,"C/ Ocaña, nº 88 -5º B",28047,MADRID,,696671048,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=33
Judo club madrid,"C/ Ocaña, nº 12",28047,MADRID,,915258956,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=271
Judo club mamut,C/ San Mario 69,28041,,,605687624,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=922
Judo club sotillo,"C/ Amor Hermoso, nº  86",28026,,,913663158,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=690
Judo club valdebernardo,C/ Pinillas 22,28032,,,619182134-610916693,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=801
Judo el tejar,"Ctra. el Pardo Km. 0,400",28035,,,619437508,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=809
Judo leopoldo,Castiello de Jaca S/N,28050,,,685528480,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=743
"Jushirokan, club",C/ Peñas Largas 19,28031,,,637864315,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=795
Kabashi,C/ Antonio Vicent Nº 62,28019,,,677482134,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=770
Ken wa kai - madrid,"Avda. Quinta, nº 6  1º",28022,MADRID,,666807883-91.393.18.89,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=643
Kids coles,"Plaza Puerto de la Cruz, 2 1º4",28029,,,609586222,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=730
"Kimura sport,s.l.","C/Camino de Valderribas, nº 38",28038,MADRID,,915011958,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=213
King´s college,"Avda. Pio XII, nº 92",28036,MADRID,,,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=393
King´s infant school,"Avda. Pio XII, nº 92",28036,,,,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=819
"Kiofu, club","C/ Amos de Escalante, nº 17",28017,MADRID,,913775169,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=216
"Kouun, c.d.e.",Plaza Remondo 1,28047,,Martes y Jueves de 20 a 22h,649060375,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=783
"La dehesa, sad cdsl","Ctra. Extremadura ,Km 8.800",28024,MADRID,,5090323,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=294
"La inmaculada, colegio",Avda. Virgen del Carmen 13,28033,,,917634509-654858336,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=775
"La merced ntra.sra., colegio","Avda. Alfonso XIII, nº 165",28017,MADRID,,913556394,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=86
"Lepanto, colegio publico","Valderrey, s/n",28035,MADRID,,913160937,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=55
"Losan, club","C/ La Canción del Olvido, s/n",28041,MADRID,,646864469,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=162
"Luis aragones, polideportivo municipal","C/ Provencio, s/n",28043,MADRID,,913003612,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=197
L´antorcha olimpica s.l.n.e.,"C/ Canal de Bósforo 82, 2ºD",28022,,,647619440,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=943
"M.v. chamartin, club deportivo elemental",C/ Bravo Murillo 194,28020,,,606836410,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=815
Maravillas club deportivo,"C/ Guadalquivir, nº 9",28002,MADRID,,699991776,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=92
Mariano a.sancho (bravo murillo fitness),"C/ Bravo Murillo, nº 160",28039,MADRID,,915718299,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=170
Maristas chamberi-ludens sport,"C/ Rafael Calvo, nº 12",28010,MADRID,,914456250,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=419
"Mater immaculata, colegio","Madre Antonia París, 1",28027,MADRID,,914036208,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=377
"Mesonero romanos, a.p.a.","C/Pont de Molins, s/n",28038,MADRID,,917771323,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=123
"Mirasierra judo, c.d.e.","C/ Ubeda, nº 6",28034,MADRID,,7390133,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=151
Monte del pardo c.p.,Avda de la Guardia 19,28048,,,913761164-696980144,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=779
Moratalaz polideportivo municipal,"C/ Valdebernardo, s/n",28030,MADRID,,917727100,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=371
"Multisport, club deportivo elemental","Raimundo Fernández Villaverde , nº 16, 4",28003,,,923266388-696924890,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=788
Mushinkan,"C/ Mirabel, 38",28044,,"M-J 19:30 a 21:30, SABADOS 11:30 A 13:30",915599357-683501885,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=871
Nanbei,"C/ Moguer, nº 3 1ºA",28040,MADRID,,914504446,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=653
"Nauj, club deportivo elemental",C/ Mohernando 6,28038,,,606147702,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=894
Ntra. sra. consolacion col.,"Plaza Madre Molas, nº 1",28036,MADRID,,917336356,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=97
Ntra. sra. de la paloma,"C/ Tabernillas, nº 2",28005,AJALVIR,,912219689,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=463
"Ntra. sra. de las nieves, colegio","Alcalá, 589",28022,,,917410009,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=688
"Okami, c.d.e (colegio santa rita)",Eugenia de Montijo s/n,28025,,"Martes, Jueves y Viernes de 17:15 a 19:15",911406689-699375088,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=816
Oroquieta espinillo,C/ Villafuerte 8,28041,,,91.295.05.08 654231969,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=917
"Pa-ki-jo, c.d.e.","AVDA. SAN FERMIN, 12 (PARROQUIA SAN FERMIN)",28041,,,629052651,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=833
Pablo picasso,"C/ Angel Luis de la Herran, nº 35",28043,MADRID,,3817997,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=281
"Palomares judo, c.d.e.","C/ La Bañeza, nº 39",28035,MADRID,,913864270,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=173
Palomeras c.d.p.,Travesía de Arganda S/N,28031,,,917774901,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=826
Paraiso sagrados corazones,Padre Damian 34,28036,,,91.344.16.93-606724535,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=926
"Patrocinio de san jose, col.","C/ General Moscardó, nº 24",28020,MADRID,,915359840,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=471
"Perello, club","C/ Virgen del Sagrario, nº 22",28027,MADRID,,914073600,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=175
"Peru, club deportivo elemental",C/Baleares 18,28019,MADRID,,699568023,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=176
"Pilaristas, club","Avda. de Bruselas, nº  71 3º2",28028,MADRID,,912562770,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=177
"Prodocente, s.a.","Avda. de  America, nº 27  1ª Dch.",28002,MADRID,,914159654,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=348
"Ramiro de maeztu, colegio-apa","C/Serrano, nº 127",28006,MADRID,,4114618,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=102
"Randori,  c.f.d.","C/ Sta. Adela, nº 19",28033,MADRID,,609061341,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=75
Real colegio santa isabel- la asuncion,"C/ Santa Isabel , nº 46",28016,,,915273181-630239846,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=760
Recuerdo fundacion cultural y deportiva,"Pza. Duque de Pastrana, nº 5",28036,MADRID,,912022640,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=104
"Rei, gimnasio.- c.d.e.","C/ Peñas Largas, nº 3",28031,MADRID,,913324625,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=183
"Republica del brasil, colegio.- c.d.e.","Avda. de los Fueros, s/n",28041,MADRID,,7923078,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=182
"Retiro, colegio","C/ Poeta Esteban Villegas,s/n",28014,MADRID,,914335813,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=249
"Rodae, club deportivo","C/Regil 1, 3ºA",28041,,,918946399-666644867,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=740
"Rosa luxemburgo, c.p.","C/ Bardegueral, nº 16 - 18",28023,MADRID,,913570212,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=330
S.a.d. cultural actex,"C/ Doctor Urquiola 25, 2ºD",28025,,,916638837,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=901
"Sagrado corazon de jesus, colegio",General Martínez Campos 6,28010,,,914454512,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=791
Salesianos san miguel,"C/ Repullés y Vargas, nº 11",28011,MADRID,,915264353,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=116
Samoga,AVDA. MONASTERIO DE SILOS 63,28049,,,686971130,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=945
"San agustin, club deportivo","C/ Padre Damián, nº 18",28036,MADRID,,4589620,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=108
"San alberto magno, colegio","Trv. Ivan de Vargas, nº 1 y 3",28019,MADRID,,2693684,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=109
San benito ampa colegio publico,C/ Juan PÉrez ZÚñiga 36,28027,,,913670800,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=903
"San buenaventura, colegio","C/ El Greco, nº 16",28011,MADRID,,914647400,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=169
"San felipe neri, club elemental",Apostol Santiago 72,28017,,,914035303,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=878
San jose (franciscanas),"C/ Moreno Nieto, nº 1",28005,MADRID,,913667203,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=589
San juan garcia,C/ Camarena 57,28047,,,917198711,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=896
"San patricio, club deportivo","C/ Serrano, nº 200",28002,MADRID,,91-5638420,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=435
"Santa catalina de sena, colegio","Avda. Alfonso XIII, 160",28016,,,913595605,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=810
"Santa maria la blanca, c.d.e.",Monasterio de Oseira 17B,28049,,,917508633-619234333,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=790
Seishin no ken,Suecia 63,28022,,,913067126-697817270,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=804
Seseña c.d.e.,C/ Pañeria 9,28037,,,677213890,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=866
St. anne´s school,"C/ Alfonso XIII, nº 162",28016,MADRID,,5635830,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=117
"Suchil, gimnasio.-c.d.e.","Pza.  Conde Valle de Suchil, nº 10",28015,MADRID,Consultar horarios en la página web,915934556,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=662
Tai itsu kan c.d.e.,C/ Boltaña 40,28022,,,627435701,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=776
